Field,Year,Years.S.1976,Crop, Org.C,switched
29,1976,0,Cereal,0.62,0
29,1977,1,Cereal,,0
29,1978,2,Cereal,0.84,0
29,1979,3,Cereal,0.67,0
29,1980,4,Cereal,0.71,0
29,1981,5,Cereal,0.94,0
29,1982,6,Cereal,0.885,0
29,1983,7,Cereal,,0
29,1984,8,Cereal,0.8725,0
29,1985,9,Cereal,0.865,0
29,1986,10,Cereal,1.035,0
29,1987,11,Cereal,1.0775,0
29,1988,12,Cereal,0.898,0
29,1989,13,Cereal,1.07,0
29,1990,14,Cereal,0.974,0
29,1991,15,Cereal,1.04,0
29,1992,16,Cereal,1.08,0
29,1993,17,Cereal,0.92,0
29,1994,18,Cereal,1.03,0
29,1995,19,Cereal,0.96,0
29,1996,20,Cereal,0.89,0
29,1997,21,Cereal,0.76,0
29,1998,22,Cereal,1.08,0
29,1999,23,Cereal,0.94,0
29,2000,24,Cereal,0.81,0
29,2001,25,Cereal,0.86,0
29,2002,26,Cereal,0.96,0
29,2003,27,Cereal,0.913,0
29,2004,28,Cereal,0.9,0
29,2005,29,Cereal,1.12,0
29,2006,30,Cereal,0.96,0
50,1976,0,Cereal,,0
50,1977,1,Cereal,0.62,0
50,1978,2,Cereal,0.94,0
50,1979,3,Cereal,0.74,0
50,1980,4,Cereal,0.89,0
50,1981,5,Cereal,1.21,0
50,1982,6,Cereal,0.905,0
50,1983,7,Cereal,0.915,0
50,1984,8,Cereal,0.8225,0
50,1985,9,Cereal,0.93,0
50,1986,10,Cereal,0.97,0
50,1987,11,Cereal,1.0525,0
50,1988,12,Cereal,0.94075,0
50,1989,13,Cereal,0.975,0
50,1990,14,Cereal,1.13875,0
50,1991,15,Cereal,1.09,0
50,1992,16,Cereal,1.15,0
50,1993,17,Cereal,1.43,0
50,1994,18,Cereal,1.17,0
50,1995,19,Cereal,1.22,0
50,1996,20,Cereal,1.09,0
50,1997,21,Cereal,1.19,0
50,1998,22,Cereal,1.23,0
50,1999,23,Cereal,1.09,0
50,2000,24,Cereal,1.07,0
50,2001,25,Cereal,0.96,0
50,2002,26,Cereal,1.27,0
50,2003,27,Cereal,0.97,0
50,2004,28,Cereal,,0
50,2005,29,Cereal,,0
50,2006,30,Cereal,1.41,0
18-1,1976,0,Cereal,1.14,0
18-1,1977,1,Cereal,,0
18-1,1978,2,Cereal,0.735,0
18-1,1979,3,Cereal,,0
18-1,1980,4,Cereal,0.945,0
18-1,1981,5,Cereal,1.225,0
18-1,1982,6,Cereal,1.285,0
18-1,1983,7,Cereal,,0
18-1,1984,8,Cereal,0.91,0
18-1,1985,9,Cereal,0.91,0
18-1,1986,10,Cereal,0.91,0
18-1,1987,11,Cereal,1.035,0
18-1,1988,12,Cereal,1.16,0
18-1,1989,13,Cereal,1.0665,0
18-1,1990,14,Cereal,,0
18-1,1991,15,Cereal,,0
18-1,1992,16,Cereal,,0
18-1,1993,17,Cereal,,0
18-1,1994,18,Cereal,0.8955,0
18-1,1995,19,Cereal,1.145,0
18-1,1996,20,Cereal,1.2215,0
18-1,1997,21,Cereal,0.8865,0
18-1,1998,22,Cereal,,0
18-1,1999,23,Cereal,,0
18-1,2000,24,Cereal,0.8037,0
18-1,2001,25,Cereal,,0
18-1,2002,26,Cereal,1.28,0
18-1,2003,27,Cereal,0.89115,0
18-1,2004,28,Cereal,,0
18-1,2005,29,Cereal,0.96,0
18-1,2006,30,Cereal,1.2,0
38A,1976,0,Hay,,0
38A,1977,1,Hay,,0
38A,1978,2,Hay,,0
38A,1979,3,Hay,0.745,0
38A,1980,4,Hay,0.52,0
38A,1981,5,Hay,0.78,0
38A,1982,6,Hay,1.3125,0
38A,1983,7,Hay,1.3775,0
38A,1984,8,Hay,1.2825,0
38A,1985,9,Hay,1.27,0
38A,1986,10,Hay,1.615,0
38A,1987,11,Hay,1.6075,0
38A,1988,12,Hay,1.605,0
38A,1989,13,Hay,1.725,0
38A,1990,14,Hay,0.786675,0
38A,1991,15,Hay,1.46,0
38A,1992,16,Hay,1.14,0
38A,1993,17,Hay,1.35,0
38A,1994,18,Hay,1.36,0
38A,1995,19,Hay,1.31,0
38A,1996,20,Cereal,1.5,0
38A,1997,21,Cereal,1.33,0
38A,1998,22,Cereal,1.45,0
38A,1999,23,Cereal,1.45,0
38A,2000,24,Cereal,1.36,0
38A,2001,25,Cereal,1.59,0
38A,2002,26,Cereal,1.14,0
38A,2003,27,Cereal,1.4,0
38A,2004,28,Cereal,,0
38A,2005,29,Cereal,,0
38A,2006,30,Cereal,1.51,0
38C,1976,0,Hay,,0
38C,1977,1,Hay,,0
38C,1978,2,Hay,,0
38C,1979,3,Hay,0.585,0
38C,1980,4,Hay,0.535,0
38C,1981,5,Hay,0.75,0
38C,1982,6,Hay,1.075,0
38C,1983,7,Hay,0.96,0
38C,1984,8,Hay,0.995,0
38C,1985,9,Hay,1,0
38C,1986,10,Hay,1.045,0
38C,1987,11,Hay,1.225,0
38C,1988,12,Hay,1.0285,0
38C,1989,13,Hay,1.025,0
38C,1990,14,Hay,1.1775,0
38C,1991,15,Hay,1.42,0
38C,1992,16,Hay,1.44,0
38C,1993,17,Hay,1.18,0
38C,1994,18,Hay,1.27,0
38C,1995,19,Hay,1.4,0
38C,1996,20,Cereal,1.37,0
38C,1997,21,Cereal,1.16,0
38C,1998,22,Cereal,1.17,0
38C,1999,23,Cereal,1.52,0
38C,2000,24,Cereal,1.27,0
38C,2001,25,Cereal,1.23,0
38C,2002,26,Cereal,1.12,0
38C,2003,27,Cereal,1.21,0
38C,2004,28,Cereal,,0
38C,2005,29,Cereal,,0
38C,2006,30,Cereal,1.6,0
24,1979,3,Hay,0.48,0
24,1980,4,Hay,0.44,0
24,1981,5,Hay,0.71,0
24,1982,6,Hay,0.8075,0
24,1983,7,Hay,0.75,0
24,1984,8,Hay,0.8675,0
24,1985,9,Hay,0.845,0
24,1986,10,Hay,0.845,0
24,1987,11,Hay,0.82525,0
